offer_accepted,average_balance,household_size,credit_cards_held,bank_accounts_open,own_your_home,homes_owned,income_level,credit_rating,profiles
No,1149.00,5,1,1,Yes,2,Low,High,"Non classifiable"
No,1132.75,3,2,1,Yes,1,Low,High,"Non classifiable"
No,226.25,5,2,1,Yes,1,High,Medium,"Non classifiable"
No,819.75,4,2,1,No,1,Low,High,"Non classifiable"
No,166.00,4,2,1,No,1,High,Medium,"Non classifiable"
No,1106.25,5,1,1,Yes,2,High,Low,"Non classifiable"
No,138.50,5,3,1,Yes,1,Medium,High,"Non classifiable"
No,1083.00,4,1,1,No,1,High,Low,"Non classifiable"
No,1096.25,4,1,1,No,1,Low,High,"Non classifiable"
No,1039.75,3,3,1,No,1,High,Low,"Non classifiable"
No,285.00,4,1,1,No,1,Medium,High,"Non classifiable"
No,957.75,4,4,2,Yes,1,High,Low,"Non classifiable"
No,269.00,3,4,2,Yes,1,High,Medium,"Non classifiable"
No,1110.75,5,2,1,Yes,1,Low,High,"Non classifiable"
No,1226.00,4,1,2,Yes,1,High,Low,"Non classifiable"
No,1051.75,2,2,2,Yes,1,Low,High,"Non classifiable"
No,1167.25,3,3,1,No,1,High,Low,"Non classifiable"
No,853.00,2,1,1,Yes,1,High,Low,"Non classifiable"
No,812.25,2,1,2,No,1,Low,High,"Non classifiable"
No,1805.75,3,4,1,Yes,1,Medium,Low,"Non classifiable"
No,1149.50,3,2,1,No,1,High,Low,"Non classifiable"
No,289.00,5,1,2,Yes,2,Medium,High,"Non classifiable"
No,1599.50,2,2,1,Yes,1,High,Low,"Non classifiable"
No,274.00,2,1,1,Yes,1,Medium,High,"Non classifiable"
No,224.00,2,1,2,No,2,Medium,High,"Non classifiable"
No,193.00,3,1,1,No,1,Medium,High,"Non classifiable"
No,781.00,3,3,2,No,1,High,Low,"Non classifiable"
No,177.75,5,2,1,Yes,1,Medium,High,"Non classifiable"
No,1796.00,1,2,1,Yes,1,Low,Medium,"Non classifiable"
No,1294.75,4,2,2,Yes,1,High,Low,"Non classifiable"
No,1186.25,4,1,1,Yes,1,Low,High,"Non classifiable"
No,1235.00,3,1,1,No,1,Low,High,"Non classifiable"
No,1081.50,2,2,1,Yes,1,Low,High,"Non classifiable"
No,253.50,4,3,2,Yes,1,Medium,High,"Non classifiable"
No,205.50,2,1,1,Yes,1,High,Medium,"Non classifiable"
No,933.50,3,2,2,Yes,2,Low,High,"Non classifiable"
Yes,986.00,4,1,1,Yes,1,High,Low,"Non classifiable"
No,1357.75,3,1,2,Yes,1,High,Low,"Non classifiable"
No,1154.50,4,1,1,Yes,1,Low,High,"Non classifiable"
No,636.50,3,4,2,No,1,Low,High,"Non classifiable"
No,954.75,3,1,1,Yes,1,High,Low,"Non classifiable"
No,806.75,3,1,1,Yes,1,High,Low,"Non classifiable"
No,1330.25,1,3,1,No,2,High,Low,"Non classifiable"
No,1229.50,2,1,2,No,1,High,Low,"Non classifiable"
No,1111.75,3,2,1,No,1,Low,High,"Non classifiable"
No,804.00,3,1,1,Yes,1,High,Low,"Non classifiable"
No,199.25,2,2,1,Yes,1,Medium,High,"Non classifiable"
No,991.25,3,2,2,No,2,High,Low,"Non classifiable"
No,867.00,2,3,1,Yes,1,Low,High,"Non classifiable"
No,1125.50,2,2,1,Yes,1,Low,High,"Non classifiable"
No,248.75,5,1,2,Yes,1,High,Medium,"Non classifiable"
No,825.25,3,1,2,Yes,2,Low,High,"Non classifiable"
No,1107.50,3,2,1,Yes,1,Low,High,"Non classifiable"
No,1357.25,3,2,2,Yes,1,Low,High,"Non classifiable"
No,932.75,3,1,1,Yes,1,Low,High,"Non classifiable"
No,915.50,2,2,1,Yes,1,Low,High,"Non classifiable"
No,165.50,4,1,1,No,2,High,Medium,"Non classifiable"
No,1066.75,4,2,2,No,1,Low,High,"Non classifiable"
No,299.75,3,2,1,Yes,1,High,Medium,"Non classifiable"
No,376.25,4,3,1,Yes,1,High,Medium,"Non classifiable"
No,1068.25,4,2,1,Yes,1,High,Low,"Non classifiable"
No,1275.75,4,2,1,Yes,1,High,Low,"Non classifiable"
No,1286.50,5,2,1,No,2,High,Low,"Non classifiable"
No,928.25,3,3,1,Yes,1,Low,High,"Non classifiable"
No,630.50,3,3,1,Yes,1,Low,High,"Non classifiable"
No,916.25,2,2,1,Yes,1,High,Low,"Non classifiable"
No,971.25,3,3,1,Yes,2,Low,High,"Non classifiable"
No,889.50,4,3,1,No,1,Low,High,"Non classifiable"
No,1146.50,3,3,2,Yes,1,High,Low,"Non classifiable"
No,1002.50,4,2,2,Yes,1,Low,High,"Non classifiable"
No,916.25,3,2,1,No,1,High,Low,"Non classifiable"
No,1106.50,3,3,1,No,1,Low,High,"Non classifiable"
Yes,1220.25,3,2,2,No,1,High,Low,"Non classifiable"
No,1344.50,2,2,1,Yes,1,Low,High,"Non classifiable"
No,287.00,5,3,1,No,1,High,Medium,"Non classifiable"
No,1186.50,2,3,2,Yes,1,High,Low,"Non classifiable"
No,954.75,2,1,2,Yes,1,High,Low,"Non classifiable"
No,937.50,5,3,1,Yes,2,High,Low,"Non classifiable"
No,699.75,5,2,1,No,1,High,Low,"Non classifiable"
No,1478.25,4,2,1,Yes,1,High,Low,"Non classifiable"
No,1284.25,4,1,3,No,1,High,Low,"Non classifiable"
No,1256.75,4,2,1,No,1,Low,High,"Non classifiable"
Yes,1726.00,3,3,1,Yes,3,Medium,Low,"Non classifiable"
No,1033.50,3,1,2,Yes,1,High,Low,"Non classifiable"
No,1264.50,2,2,1,Yes,1,High,Low,"Non classifiable"
No,1142.25,4,2,1,Yes,1,Low,High,"Non classifiable"
No,1322.75,3,3,1,Yes,1,Low,High,"Non classifiable"
No,1130.50,3,1,1,Yes,1,High,Low,"Non classifiable"
No,1052.25,3,1,1,Yes,1,High,Low,"Non classifiable"
No,1283.50,3,2,1,Yes,1,Low,High,"Non classifiable"
No,417.75,2,1,1,Yes,1,High,Medium,"Non classifiable"
No,248.25,4,2,1,No,2,High,Medium,"Non classifiable"
No,1252.50,4,2,1,No,2,High,Low,"Non classifiable"
No,664.25,3,1,1,Yes,1,High,Low,"Non classifiable"
No,849.25,4,2,2,No,1,Low,High,"Non classifiable"
No,1268.50,5,3,1,Yes,1,Low,High,"Non classifiable"
No,1088.00,4,1,1,Yes,1,Low,High,"Non classifiable"
No,1277.25,4,3,1,Yes,1,High,Low,"Non classifiable"
No,241.50,4,2,1,Yes,1,Medium,High,"Non classifiable"
No,905.00,3,1,1,Yes,2,Low,High,"Non classifiable"
No,854.50,4,2,2,Yes,1,Low,High,"Non classifiable"
No,291.25,6,2,1,Yes,1,Medium,High,"Non classifiable"
No,1208.75,3,2,1,Yes,1,Low,High,"Non classifiable"
Yes,325.25,5,2,1,Yes,2,High,Medium,"Non classifiable"
No,357.75,1,2,1,Yes,1,Medium,High,"Non classifiable"
No,923.75,3,1,1,Yes,1,High,Low,"Non classifiable"
No,952.25,4,2,1,Yes,1,High,Low,"Non classifiable"
No,1058.25,4,2,1,Yes,1,Low,High,"Non classifiable"
No,901.75,4,3,1,Yes,1,Low,High,"Non classifiable"
No,941.50,3,3,2,Yes,2,Low,High,"Non classifiable"
No,1252.00,2,2,1,Yes,1,High,Low,"Non classifiable"
No,938.25,4,2,1,Yes,1,Low,High,"Non classifiable"
No,688.25,2,3,2,No,1,Low,High,"Non classifiable"
No,987.75,4,2,1,Yes,1,High,Low,"Non classifiable"
No,1002.25,3,4,2,Yes,1,High,Low,"Non classifiable"
No,255.25,3,1,2,Yes,1,Medium,High,"Non classifiable"
No,1468.50,5,1,1,Yes,1,High,Low,"Non classifiable"
No,939.50,1,1,1,No,1,High,Low,"Non classifiable"
No,1157.00,3,3,1,Yes,2,Low,High,"Non classifiable"
No,1173.50,3,3,1,Yes,1,Low,High,"Non classifiable"
No,1052.25,3,1,1,No,1,Low,High,"Non classifiable"
No,857.25,3,3,2,Yes,1,Low,High,"Non classifiable"
No,280.25,5,4,3,Yes,1,Medium,High,"Non classifiable"
No,1199.25,3,3,2,Yes,1,High,Low,"Non classifiable"
No,1311.75,3,1,1,Yes,1,Low,High,"Non classifiable"
No,1130.00,4,2,1,No,1,High,Low,"Non classifiable"
No,312.50,3,2,1,Yes,1,Medium,High,"Non classifiable"
No,910.25,3,2,2,No,1,High,Low,"Non classifiable"
No,869.75,2,2,2,No,1,High,Low,"Non classifiable"
No,829.25,4,2,1,No,2,Low,High,"Non classifiable"
Yes,962.75,5,1,1,Yes,1,Low,High,"Non classifiable"
No,1062.75,3,1,1,No,1,High,Low,"Non classifiable"
No,908.25,2,1,2,No,1,High,Low,"Non classifiable"
No,766.50,2,2,2,Yes,1,High,Low,"Non classifiable"
No,1656.50,4,2,1,Yes,2,Low,Medium,"Non classifiable"
No,1392.50,5,3,1,No,1,High,Low,"Non classifiable"
No,315.50,4,3,2,Yes,2,Medium,High,"Non classifiable"
No,780.00,5,3,1,Yes,2,High,Low,"Non classifiable"
No,254.00,3,1,1,Yes,1,Medium,High,"Non classifiable"
No,301.25,4,1,1,Yes,1,Medium,High,"Non classifiable"
No,1267.50,4,1,1,No,1,Low,High,"Non classifiable"
No,943.25,6,1,1,No,1,High,Low,"Non classifiable"
No,1125.50,5,1,1,Yes,2,High,Low,"Non classifiable"
No,1014.50,4,2,2,Yes,1,High,Low,"Non classifiable"
No,928.25,4,1,1,No,1,Low,High,"Non classifiable"
No,808.25,4,2,2,Yes,1,Low,High,"Non classifiable"
No,1205.75,2,2,1,Yes,1,Low,High,"Non classifiable"
No,1103.00,2,1,2,Yes,1,High,Low,"Non classifiable"
No,1252.75,2,3,1,Yes,1,High,Low,"Non classifiable"
No,349.00,5,2,1,No,1,Medium,High,"Non classifiable"
No,236.50,2,2,1,Yes,1,High,Medium,"Non classifiable"
No,994.75,4,3,2,No,1,Low,High,"Non classifiable"
No,239.75,3,2,1,Yes,1,Medium,High,"Non classifiable"
No,1114.50,1,1,1,No,1,Low,High,"Non classifiable"
No,1828.00,4,1,1,No,2,Medium,Low,"Non classifiable"
No,1059.25,5,2,1,No,2,Low,High,"Non classifiable"
No,767.75,4,2,1,No,1,Low,High,"Non classifiable"
No,935.75,4,2,1,No,1,High,Low,"Non classifiable"
No,1310.25,3,1,1,Yes,1,Low,High,"Non classifiable"
Yes,794.00,5,2,1,Yes,1,Low,High,"Non classifiable"
No,1345.50,1,2,1,No,3,Low,High,"Non classifiable"
No,1201.75,3,2,1,No,1,Low,High,"Non classifiable"
No,1311.00,6,2,2,Yes,1,Low,High,"Non classifiable"
No,917.25,4,3,2,Yes,3,Low,High,"Non classifiable"
No,212.75,5,3,1,No,1,Medium,High,"Non classifiable"
Yes,986.25,2,3,1,Yes,1,High,Low,"Non classifiable"
No,237.50,3,1,1,Yes,2,Medium,High,"Non classifiable"
No,184.50,2,2,2,Yes,2,Medium,High,"Non classifiable"
No,246.75,4,3,1,Yes,1,Medium,High,"Non classifiable"
No,99.75,3,2,1,Yes,2,Medium,High,"Non classifiable"
No,1040.00,4,1,2,No,1,Low,High,"Non classifiable"
No,1601.75,3,2,1,Yes,1,Medium,Low,"Non classifiable"
No,1072.75,4,1,1,Yes,1,High,Low,"Non classifiable"
No,1241.50,4,1,1,No,2,High,Low,"Non classifiable"
No,1003.00,4,3,1,No,1,Low,High,"Non classifiable"
No,968.50,3,2,1,Yes,2,Low,High,"Non classifiable"
No,760.50,3,2,1,Yes,1,Low,High,"Non classifiable"
No,271.00,4,1,1,No,1,High,Medium,"Non classifiable"
No,973.75,6,2,1,Yes,1,Low,High,"Non classifiable"
No,291.00,4,3,1,Yes,2,Medium,High,"Non classifiable"
No,1280.75,5,3,1,Yes,2,Low,High,"Non classifiable"
No,863.75,3,2,1,No,1,High,Low,"Non classifiable"
No,836.75,5,1,1,Yes,1,Low,High,"Non classifiable"
No,249.75,4,2,1,Yes,1,Medium,High,"Non classifiable"
No,985.00,4,2,1,No,1,High,Low,"Non classifiable"
No,1017.25,4,1,1,No,1,Low,High,"Non classifiable"
No,1186.25,2,2,1,Yes,2,Low,High,"Non classifiable"
No,1086.00,2,2,1,No,1,Low,High,"Non classifiable"
No,939.25,3,2,1,No,1,High,Low,"Non classifiable"
No,1168.75,3,1,1,Yes,1,High,Low,"Non classifiable"
No,1161.50,3,3,1,No,2,Low,High,"Non classifiable"
No,299.00,3,1,1,Yes,2,High,Medium,"Non classifiable"
No,772.00,5,3,1,Yes,2,Low,High,"Non classifiable"
No,912.00,2,2,1,Yes,2,High,Low,"Non classifiable"
No,1032.25,5,2,2,Yes,2,Low,High,"Non classifiable"
No,237.75,1,3,1,No,2,Medium,High,"Non classifiable"
No,1017.50,4,2,2,Yes,1,Low,High,"Non classifiable"
No,922.50,2,2,1,No,1,High,Low,"Non classifiable"
No,1213.00,4,2,1,No,1,Low,High,"Non classifiable"
No,1061.50,4,1,1,Yes,2,High,Low,"Non classifiable"
No,1083.00,3,2,1,Yes,1,Low,High,"Non classifiable"
No,1196.00,1,1,1,Yes,3,Low,High,"Non classifiable"
No,205.00,5,2,1,Yes,1,Medium,High,"Non classifiable"
Yes,1001.50,3,1,1,Yes,1,High,Low,"Non classifiable"
Yes,277.50,3,1,1,Yes,2,Medium,High,"Non classifiable"
No,1140.50,3,1,1,Yes,1,High,Low,"Non classifiable"
Yes,643.00,3,1,2,Yes,2,High,Low,"Non classifiable"
No,872.75,2,2,2,No,1,Low,High,"Non classifiable"
No,1237.00,3,3,1,Yes,1,Low,High,"Non classifiable"
No,345.00,3,3,1,Yes,1,High,Medium,"Non classifiable"
No,255.50,3,2,1,Yes,1,High,Medium,"Non classifiable"
No,232.75,3,2,2,No,1,High,Medium,"Non classifiable"
No,1013.25,2,1,1,Yes,1,High,Low,"Non classifiable"
No,832.25,5,1,1,Yes,1,Low,High,"Non classifiable"
Yes,1073.00,6,2,1,No,1,High,Low,"Non classifiable"
No,1018.50,3,2,1,Yes,2,Low,High,"Non classifiable"
No,1161.75,3,3,1,Yes,1,Low,High,"Non classifiable"
No,1501.25,2,1,1,No,1,High,Low,"Non classifiable"
No,1215.75,2,2,2,Yes,1,Low,High,"Non classifiable"
No,1257.75,5,2,1,No,1,Low,High,"Non classifiable"
Yes,668.00,3,2,1,Yes,1,High,Low,"Non classifiable"
No,1182.50,5,3,2,No,2,High,Low,"Non classifiable"
No,1125.00,4,1,2,No,2,Low,High,"Non classifiable"
No,564.25,4,3,2,No,1,High,Low,"Non classifiable"
No,391.00,2,2,1,Yes,1,Medium,High,"Non classifiable"
No,1030.50,3,2,1,Yes,1,Low,High,"Non classifiable"
No,278.25,3,1,2,Yes,1,Medium,High,"Non classifiable"
No,1068.00,4,3,2,Yes,1,Low,High,"Non classifiable"
No,1095.00,5,2,1,No,2,High,Low,"Non classifiable"
No,761.25,6,2,1,Yes,1,High,Low,"Non classifiable"
No,1706.25,5,2,3,No,1,Medium,Low,"Non classifiable"
No,233.00,3,3,1,Yes,1,High,Medium,"Non classifiable"
No,1733.25,3,1,1,No,1,Low,Medium,"Non classifiable"
No,971.75,4,1,1,Yes,1,High,Low,"Non classifiable"
No,252.00,4,1,1,No,1,High,Medium,"Non classifiable"
No,1749.25,4,1,1,Yes,1,Medium,Low,"Non classifiable"
No,1096.25,5,2,1,No,1,High,Low,"Non classifiable"
No,1280.00,4,2,1,Yes,1,High,Low,"Non classifiable"
No,921.00,3,2,1,Yes,1,Low,High,"Non classifiable"
No,212.00,3,2,1,Yes,1,Medium,High,"Non classifiable"
No,204.50,5,1,2,No,1,Medium,High,"Non classifiable"
No,1181.00,3,3,1,Yes,1,High,Low,"Non classifiable"
No,1072.25,5,2,2,No,1,Low,High,"Non classifiable"
No,1179.50,3,2,2,Yes,1,High,Low,"Non classifiable"
Yes,1242.00,5,2,1,Yes,2,High,Low,"Non classifiable"
Yes,1083.75,5,1,1,Yes,1,Low,High,"Non classifiable"
Yes,1118.75,3,3,1,No,2,High,Low,"Non classifiable"
No,1035.00,3,2,2,Yes,1,High,Low,"Non classifiable"
No,1052.75,4,1,1,No,1,Low,High,"Non classifiable"
No,206.50,3,3,1,No,1,Medium,High,"Non classifiable"
No,661.25,4,1,1,No,2,Low,High,"Non classifiable"
No,322.25,3,2,1,No,1,Medium,High,"Non classifiable"
No,1037.75,3,1,1,Yes,2,Low,High,"Non classifiable"
No,1211.25,4,2,1,Yes,1,High,Low,"Non classifiable"
No,1100.25,4,2,1,Yes,1,High,Low,"Non classifiable"
No,1033.25,4,1,2,Yes,1,Low,High,"Non classifiable"
No,1021.50,2,2,2,Yes,1,High,Low,"Non classifiable"
No,958.00,5,2,1,Yes,1,High,Low,"Non classifiable"
No,234.75,4,4,1,Yes,2,High,Medium,"Non classifiable"
No,1161.00,4,3,2,No,1,High,Low,"Non classifiable"
No,1070.00,2,1,1,Yes,1,High,Low,"Non classifiable"
No,227.00,3,2,2,Yes,2,High,Medium,"Non classifiable"
No,1126.25,4,1,1,No,1,High,Low,"Non classifiable"
No,1054.75,3,2,2,Yes,2,Low,High,"Non classifiable"
No,921.50,4,3,2,Yes,1,Low,High,"Non classifiable"
No,124.00,3,4,2,Yes,1,Medium,High,"Non classifiable"
No,1125.00,2,3,1,Yes,1,Low,High,"Non classifiable"
No,1205.75,4,2,1,Yes,1,Low,High,"Non classifiable"
No,300.25,3,2,1,Yes,1,Medium,High,"Non classifiable"
No,213.50,2,2,1,No,1,High,Medium,"Non classifiable"
No,997.00,3,1,1,Yes,1,Low,High,"Non classifiable"
No,825.50,4,2,2,No,1,Low,High,"Non classifiable"
No,923.25,3,2,1,Yes,2,Low,High,"Non classifiable"
No,670.25,2,1,1,Yes,1,High,Low,"Non classifiable"
No,1063.75,3,2,1,No,2,High,Low,"Non classifiable"
No,134.00,2,1,1,No,1,Medium,High,"Non classifiable"
Yes,1309.25,4,1,1,Yes,1,Low,High,"Non classifiable"
No,925.25,4,3,1,Yes,1,High,Low,"Non classifiable"
No,991.00,4,4,2,No,2,Low,High,"Non classifiable"
No,937.75,3,1,1,No,1,Low,High,"Non classifiable"
No,1054.75,2,1,1,No,1,Low,High,"Non classifiable"
No,695.50,5,1,2,Yes,1,Low,High,"Non classifiable"
No,777.50,2,3,1,Yes,1,High,Low,"Non classifiable"
No,1077.25,3,1,1,Yes,1,Low,High,"Non classifiable"
No,1137.00,3,2,1,Yes,1,High,Low,"Non classifiable"
No,275.75,2,2,2,Yes,1,High,Medium,"Non classifiable"
No,1017.75,4,1,2,Yes,2,Low,High,"Non classifiable"
No,1027.25,4,3,1,Yes,1,Low,High,"Non classifiable"
No,1123.25,3,1,1,Yes,1,High,Low,"Non classifiable"
No,1034.50,5,2,1,Yes,2,Low,High,"Non classifiable"
No,1096.50,5,1,1,No,1,Low,High,"Non classifiable"
No,188.25,6,2,2,Yes,2,High,Medium,"Non classifiable"
Yes,929.00,4,4,1,Yes,1,Low,High,"Non classifiable"
No,142.50,4,3,1,Yes,1,Medium,High,"Non classifiable"
No,188.25,4,2,1,Yes,1,Medium,High,"Non classifiable"
No,1755.75,4,2,1,Yes,3,Medium,Low,"Non classifiable"
No,356.75,5,2,1,Yes,1,High,Medium,"Non classifiable"
No,173.00,4,3,2,Yes,1,Medium,High,"Non classifiable"
No,1151.25,3,1,1,No,1,High,Low,"Non classifiable"
No,1052.00,4,2,1,Yes,2,Low,High,"Non classifiable"
No,1000.50,2,2,1,Yes,1,High,Low,"Non classifiable"
No,1734.25,2,4,1,Yes,1,Low,Medium,"Non classifiable"
No,1180.00,3,3,1,Yes,1,High,Low,"Non classifiable"
No,1071.75,4,3,1,Yes,1,Low,High,"Non classifiable"
No,1104.00,5,2,1,Yes,1,High,Low,"Non classifiable"
No,1025.75,4,2,1,Yes,1,High,Low,"Non classifiable"
No,1224.00,3,2,1,Yes,2,High,Low,"Non classifiable"
No,1137.50,4,1,1,Yes,1,Low,High,"Non classifiable"
No,850.50,3,3,2,Yes,2,High,Low,"Non classifiable"
No,1081.50,4,2,2,No,1,High,Low,"Non classifiable"
No,237.50,4,3,3,Yes,2,Medium,High,"Non classifiable"
No,1054.25,4,3,2,Yes,1,Low,High,"Non classifiable"
No,1104.50,3,1,1,Yes,1,Low,High,"Non classifiable"
No,1307.25,4,2,1,Yes,1,High,Low,"Non classifiable"
No,994.75,5,2,1,Yes,2,High,Low,"Non classifiable"
No,1057.00,3,2,2,Yes,1,High,Low,"Non classifiable"
No,1071.75,4,1,1,Yes,1,High,Low,"Non classifiable"
No,865.00,2,2,1,Yes,1,High,Low,"Non classifiable"
No,859.75,3,2,2,No,1,High,Low,"Non classifiable"
No,1410.25,2,3,1,No,1,Low,High,"Non classifiable"
No,1300.75,2,3,1,No,2,High,Low,"Non classifiable"
No,925.75,4,1,2,No,1,High,Low,"Non classifiable"
No,926.00,3,1,1,Yes,1,High,Low,"Non classifiable"
No,1005.50,5,1,1,No,2,High,Low,"Non classifiable"
No,1020.25,1,2,1,Yes,2,Low,High,"Non classifiable"
No,1263.75,3,2,2,Yes,1,Low,High,"Non classifiable"
No,1099.25,5,2,1,Yes,1,High,Low,"Non classifiable"
No,958.75,3,3,1,No,1,Low,High,"Non classifiable"
No,999.25,3,3,2,Yes,1,Low,High,"Non classifiable"
No,1106.75,4,1,1,Yes,1,High,Low,"Non classifiable"
Yes,992.75,2,1,3,No,1,Low,High,"Non classifiable"
No,993.00,3,1,1,Yes,1,High,Low,"Non classifiable"
No,1704.50,3,2,1,Yes,2,Medium,Low,"Non classifiable"
No,1060.00,2,2,1,No,1,High,Low,"Non classifiable"
No,1302.50,2,2,1,No,1,Low,High,"Non classifiable"
Yes,684.00,2,2,1,Yes,1,Low,High,"Non classifiable"
No,804.25,4,2,2,Yes,1,Low,High,"Non classifiable"
No,974.00,3,3,1,Yes,1,Low,High,"Non classifiable"
No,1074.75,4,1,2,Yes,2,Low,High,"Non classifiable"
No,176.75,3,2,1,Yes,1,High,Medium,"Non classifiable"
No,175.50,3,3,1,Yes,1,Medium,High,"Non classifiable"
No,1182.75,4,2,1,No,1,Low,High,"Non classifiable"
No,256.75,4,1,1,Yes,1,Medium,High,"Non classifiable"
No,778.50,2,3,1,Yes,1,High,Low,"Non classifiable"
No,1270.25,4,1,1,Yes,2,Low,High,"Non classifiable"
No,1141.75,3,2,2,No,2,Low,High,"Non classifiable"
No,1064.75,6,3,1,Yes,2,Low,High,"Non classifiable"
No,198.75,3,2,1,No,1,Medium,High,"Non classifiable"
No,1022.50,2,1,2,No,1,Low,High,"Non classifiable"
No,287.75,1,1,1,No,1,High,Medium,"Non classifiable"
No,1004.00,5,2,1,Yes,1,High,Low,"Non classifiable"
No,1289.75,3,1,1,No,1,High,Low,"Non classifiable"
No,1061.25,4,1,1,Yes,1,Low,High,"Non classifiable"
No,949.00,5,1,1,Yes,1,Low,High,"Non classifiable"
No,981.75,5,1,1,Yes,2,Low,High,"Non classifiable"
Yes,1351.75,4,1,2,Yes,2,High,Low,"Non classifiable"
No,320.75,6,3,1,Yes,2,Medium,High,"Non classifiable"
No,1050.50,4,2,1,Yes,1,Low,High,"Non classifiable"
No,1206.75,4,2,3,Yes,2,Low,High,"Non classifiable"
No,1736.25,4,2,1,Yes,1,Medium,Low,"Non classifiable"
No,1144.25,4,2,2,Yes,1,Low,High,"Non classifiable"
No,1082.00,2,1,1,Yes,1,High,Low,"Non classifiable"
No,937.25,3,1,1,Yes,1,High,Low,"Non classifiable"
No,182.75,3,2,1,No,1,Medium,High,"Non classifiable"
No,1359.75,3,2,2,Yes,2,High,Low,"Non classifiable"
No,1051.75,4,2,1,Yes,1,Low,High,"Non classifiable"
No,972.00,2,1,1,Yes,1,Low,High,"Non classifiable"
No,144.25,4,2,1,Yes,2,High,Medium,"Non classifiable"
No,251.00,3,3,1,Yes,1,Medium,High,"Non classifiable"
No,178.50,3,1,1,Yes,1,High,Medium,"Non classifiable"
No,1678.75,4,2,1,Yes,1,Medium,Low,"Non classifiable"
No,312.50,5,1,1,No,2,Medium,High,"Non classifiable"
No,860.25,3,1,1,No,1,High,Low,"Non classifiable"
Yes,1794.50,4,1,2,Yes,1,Medium,Low,"Non classifiable"
No,218.50,4,1,1,No,1,High,Medium,"Non classifiable"
Yes,886.75,3,2,1,Yes,1,High,Low,"Non classifiable"
No,778.25,4,3,1,No,1,Low,High,"Non classifiable"
No,217.50,3,3,1,Yes,1,High,Medium,"Non classifiable"
No,151.25,5,2,1,Yes,1,Medium,High,"Non classifiable"
No,219.25,3,4,1,No,1,High,Medium,"Non classifiable"
No,689.75,3,1,1,Yes,1,High,Low,"Non classifiable"
No,289.50,3,1,1,Yes,1,Medium,High,"Non classifiable"
No,791.00,4,1,1,No,1,High,Low,"Non classifiable"
No,1141.00,6,1,1,No,1,High,Low,"Non classifiable"
No,1141.50,2,3,1,Yes,1,Low,High,"Non classifiable"
No,238.50,3,1,1,Yes,1,Medium,High,"Non classifiable"
No,1182.75,4,2,1,No,2,Low,High,"Non classifiable"
No,302.25,3,3,1,No,1,High,Medium,"Non classifiable"
No,1204.75,3,3,1,Yes,2,High,Low,"Non classifiable"
No,716.75,4,1,1,No,2,High,Low,"Non classifiable"
No,1276.50,2,2,1,Yes,1,Low,High,"Non classifiable"
No,1256.75,2,1,2,Yes,1,High,Low,"Non classifiable"
No,1117.50,4,3,2,Yes,1,High,Low,"Non classifiable"
No,882.75,3,1,1,No,1,High,Low,"Non classifiable"
No,882.25,3,2,1,No,1,Low,High,"Non classifiable"
No,1100.75,2,1,1,Yes,1,Low,High,"Non classifiable"
No,1704.25,6,2,2,Yes,1,Low,Medium,"Non classifiable"
No,1416.00,2,2,1,No,2,High,Low,"Non classifiable"
No,1398.50,3,1,2,Yes,1,Low,High,"Non classifiable"
No,208.75,3,1,2,Yes,1,Medium,High,"Non classifiable"
No,971.25,4,1,1,Yes,1,High,Low,"Non classifiable"
No,1169.75,3,3,1,No,1,Low,High,"Non classifiable"
No,239.50,4,1,1,Yes,2,Medium,High,"Non classifiable"
No,881.00,3,1,1,Yes,1,High,Low,"Non classifiable"
No,933.25,5,3,2,Yes,1,Low,High,"Non classifiable"
No,1123.00,1,1,1,No,1,High,Low,"Non classifiable"
Yes,1197.75,2,3,1,No,2,High,Low,"Non classifiable"
No,999.00,5,1,1,No,1,Low,High,"Non classifiable"
No,992.50,2,2,1,No,2,Low,High,"Non classifiable"
No,993.25,4,1,2,Yes,1,High,Low,"Non classifiable"
No,979.25,4,3,1,No,1,High,Low,"Non classifiable"
No,208.75,5,1,1,Yes,1,Medium,High,"Non classifiable"
No,1057.00,3,2,1,Yes,1,High,Low,"Non classifiable"
No,1169.75,3,3,1,Yes,1,Low,High,"Non classifiable"
No,1157.25,2,1,1,Yes,1,Low,High,"Non classifiable"
No,1000.25,4,2,1,No,1,Low,High,"Non classifiable"
No,1032.75,4,3,1,Yes,1,High,Low,"Non classifiable"
No,818.25,4,2,2,Yes,1,Low,High,"Non classifiable"
No,1047.25,3,2,1,Yes,1,High,Low,"Non classifiable"
No,1275.25,5,2,2,No,1,High,Low,"Non classifiable"
No,985.50,1,1,1,No,1,High,Low,"Non classifiable"
No,299.00,2,2,1,No,2,Medium,High,"Non classifiable"
No,843.25,4,2,1,No,1,Low,High,"Non classifiable"
No,283.25,2,2,1,Yes,1,Medium,High,"Non classifiable"
No,754.75,4,3,2,No,2,High,Low,"Non classifiable"
No,237.25,4,3,2,No,1,Medium,High,"Non classifiable"
No,286.00,3,2,2,Yes,1,Medium,High,"Non classifiable"
No,1379.75,4,2,1,Yes,1,Low,High,"Non classifiable"
No,967.00,4,1,1,Yes,1,High,Low,"Non classifiable"
No,1077.50,4,2,1,Yes,2,Low,High,"Non classifiable"
No,1016.00,5,3,1,Yes,1,High,Low,"Non classifiable"
No,1276.00,6,3,1,No,1,Low,High,"Non classifiable"
